sudo ac_tool voltage -r gpu,检查GPU电压,voltage level:650000uV
sudo ac_tool voltage -r cpu,检查CPU电压,voltage level:995000uV
sudo ac_tool clock -r gpu,检查GPU core状态,False
sudo ac_tool clock -r cpu_clus0,检查cpucore状态,False
export DISPLAY=:1.0 && xrandr,检查显示器状态,eDP-1 connected
cat /sys/class/thermal/thermal_zone0/temp,检查机器温度,False
cat /sys/class/thermal/thermal_zone6/perf_mode,检查性能模式,performance
cat /sys/devices/LNXSYSTM:00/LNXSYBUS:00/*/ACPI000D:00/power1_average,False
uname,检查系统,Linux
cat /sys/class/drm/card0-eDP-1/status,检查显示器是否链接,connected
